generic_name,brand_name,baseline_price,system_id
Polyurethane foam film dressing sterile with adhesive border 10cm x 10cm square,#AOne Foam dressing (adhesive) 10cm x 10cm square,1.85,41105111000001102
Polyurethane foam film dressing sterile with adhesive border 12.5cm x 12.5cm square,#AOne Foam dressing (adhesive) 12.5cm x 12.5cm square,1.85,41107311000001108
Polyurethane foam film dressing sterile with adhesive border 15cm x 15cm square,#AOne Foam dressing (adhesive) 15cm x 15cm square,1.85,41107711000001107
Polyurethane foam film dressing sterile with adhesive border 7.5cm x 7.5cm square,#AOne Foam dressing (adhesive) 7.5cm x 7.5cm square,1.85,41103811000001105
Polyurethane foam film dressing sterile without adhesive border 10cm x 10cm square,#AOne Foam dressing (non-adhesive) 10cm x 10cm square,1.85,41117911000001107
Polyurethane foam film dressing sterile without adhesive border 12.5cm x 12.5cm square,#AOne Foam dressing (non-adhesive) 12.5cm x 12.5cm square,1.85,41118211000001104
Polyurethane foam film dressing sterile without adhesive border 15cm x 15cm square,#AOne Foam dressing (non-adhesive) 15cm x 15cm square,1.85,41118511000001101
Polyurethane foam film dressing sterile without adhesive border 20cm x 20cm square,#AOne Foam dressing (non-adhesive) 20cm x 20cm square,1.85,41118811000001103
Polyurethane foam film dressing sterile without adhesive border 5cm x 5cm square,#AOne Foam dressing (non-adhesive) 5cm x 5cm square,1.85,41117311000001106
Polyurethane foam film dressing sterile without adhesive border 7.5cm x 7.5cm square,#AOne Foam dressing (non-adhesive) 7.5cm x 7.5cm square,1.85,41117611000001101
Generic #AOne Gelling Fibre dressing 10cm x 10cm square,#AOne Gelling Fibre dressing 10cm x 10cm square,1.85,41175411000001104
Generic #AOne Gelling Fibre dressing 15cm x 15cm square,#AOne Gelling Fibre dressing 15cm x 15cm square,1.85,41176011000001104
Cavity dressing 2cm x 45cm,#AOne Gelling Fibre dressing 2cm x 45cm ribbon,1.85,41176311000001101
Generic #AOne Gelling Fibre dressing 5cm x 5cm square,#AOne Gelling Fibre dressing 5cm x 5cm square,1.85,41174811000001103
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 10cm x 10cm,#AOne Silicone Foam Border dressing 10cm x 10cm,1.85,40493911000001106
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 12.5cm x 12.5cm,#AOne Silicone Foam Border dressing 12.5cm x 12.5cm,1.85,40494211000001104
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 15cm x 15cm,#AOne Silicone Foam Border dressing 15cm x 15cm,1.85,40494411000001100
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 17.5cm x 17.5cm,#AOne Silicone Foam Border dressing 17.5cm x 17.5cm,1.85,40494611000001102
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 20cm x 20cm,#AOne Silicone Foam Border dressing 20cm x 20cm,1.85,40494811000001103
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 23.5cm x 25cm heel,#AOne Silicone Foam Border dressing 23.5cm x 25cm heel,1.85,40495211000001107
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 23cm x 23cm sacral,#AOne Silicone Foam Border dressing 23cm x 23cm sacral,1.85,40495011000001108
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 7.5cm x 7.5cm,#AOne Silicone Foam Border dressing 7.5cm x 7.5cm,1.85,40493711000001109
Soft silicone wound contact dressing with polyurethane foam film backing sterile 10cm x 10cm,#AOne Silicone Foam Non-Border dressing 10cm x 10cm,1.85,40492911000001104
Soft silicone wound contact dressing with polyurethane foam film backing sterile 12.5cm x 12.5cm,#AOne Silicone Foam Non-Border dressing 12.5cm x 12.5cm,1.85,40493111000001108
Soft silicone wound contact dressing with polyurethane foam film backing sterile 15cm x 15cm,#AOne Silicone Foam Non-Border dressing 15cm x 15cm,1.85,40493311000001105
Soft silicone wound contact dressing with polyurethane foam film backing sterile 20cm x 20cm,#AOne Silicone Foam Non-Border dressing 20cm x 20cm,1.85,40493511000001104
Soft silicone wound contact dressing with polyurethane foam film backing sterile 5cm x 5cm,#AOne Silicone Foam Non-Border dressing 5cm x 5cm,1.85,40492311000001100
Soft silicone wound contact dressing with polyurethane foam film backing sterile 5cm x 7cm,#AOne Silicone Foam Non-Border dressing 5cm x 7cm,1.85,40492511000001106
Soft silicone wound contact dressing with polyurethane foam film backing sterile 7.5cm x 7.5cm,#AOne Silicone Foam Non-Border dressing 7.5cm x 7.5cm,1.85,40492711000001101
Urinal systems,'55' male urinal,1.85,6614511000001108
Urinal systems,'55' male urinal sheath,1.85,6615411000001105
Peak flow meter low range,1 Easy peak flow meter low range,1.85,39316411000001101
Peak flow meter standard range,1 Easy peak flow meter standard range,1.85,39316211000001100
Generic 1 Primary Wound Dressing spray,1 Primary Wound Dressing spray,1.85,34829511000001102
Ubidecarenone 100mg capsules,10-Q Co-Enzyme Q10 100mg capsules,1.85,39368211000001100
Ubidecarenone 30mg capsules,10-Q Co-Enzyme Q10 30mg capsules,1.85,39367711000001106
Ubidecarenone 25mg/5ml oral solution sugar free,10-Q Ubidecarenone 25mg/5ml oral solution,1.85,40242311000001108
Ubidecarenone 50mg/5ml oral solution sugar free,10-Q Ubidecarenone 50mg/5ml oral solution,1.85,40242611000001103
Magnesium citrate 100mg capsules,100 M-Trate capsules,1.85,39334911000001106
Vaginal douche,1litre douche can,1.85,21054111000001102
Foley catheter female 12Ch,2 way foley all silicone catheter female 12Ch,1.85,6053711000001102
Foley catheter female 14Ch,2 way foley all silicone catheter female 14Ch,1.85,6077311000001105
Foley catheter female 16Ch,2 way foley all silicone catheter female 16Ch,1.85,6072411000001101
Foley catheter male 12Ch,2 way foley all silicone catheter male 12Ch,1.85,6331211000001108
Foley catheter male 14Ch,2 way foley all silicone catheter male 14Ch,1.85,6420211000001105
Foley catheter male 16Ch,2 way foley all silicone catheter male 16Ch,1.85,6366711000001104
Foley catheter male 18Ch,2 way foley all silicone catheter male 18Ch,1.85,6483011000001102
Foley catheter male 20Ch,2 way foley all silicone catheter male 20Ch,1.85,6512911000001100
Foley catheter male 22Ch,2 way foley all silicone catheter male 22Ch,1.85,6605711000001101
Foley catheter male 24Ch,2 way foley all silicone catheter male 24Ch,1.85,6659211000001102
Foley catheter male 26Ch,2 way foley all silicone catheter male 26Ch,1.85,6669411000001109
Foley catheter male 14Ch,2 way foley all silicone catheter male open tip 14Ch,1.85,28053411000001102
Foley catheter male 16Ch,2 way foley all silicone catheter male open tip 16Ch,1.85,28053611000001104
Foley catheter male 18Ch,2 way foley all silicone catheter male open tip 18Ch,1.85,28053811000001100
Foley catheter paediatric 10Ch,2 way foley all silicone catheter paediatric 10Ch,1.85,6710611000001106
Foley catheter paediatric 6Ch,2 way foley all silicone catheter paediatric 6Ch,1.85,6739611000001105
Foley catheter paediatric 8Ch,2 way foley all silicone catheter paediatric 8Ch,1.85,6757411000001104